PERMNO,date,TICKER,PRC
23712,1990-01-31,PEG,27.25000
23712,1990-02-28,PEG,27.62500
23712,1990-03-30,PEG,26.50000
23712,1990-04-30,PEG,24.62500
23712,1990-05-31,PEG,26.75000
23712,1990-06-29,PEG,25.87500
23712,1990-07-31,PEG,25.50000
23712,1990-08-31,PEG,23.75000
23712,1990-09-28,PEG,23.25000
23712,1990-10-31,PEG,26.37500
23712,1990-11-30,PEG,26.50000
23712,1990-12-31,PEG,26.37500
23712,1991-01-31,PEG,26.00000
23712,1991-02-28,PEG,27.62500
23712,1991-03-28,PEG,27.25000
23712,1991-04-30,PEG,27.12500
23712,1991-05-31,PEG,27.12500
23712,1991-06-28,PEG,25.87500
23712,1991-07-31,PEG,27.25000
23712,1991-08-30,PEG,28.37500
23712,1991-09-30,PEG,28.37500
23712,1991-10-31,PEG,28.37500
23712,1991-11-29,PEG,28.25000
23712,1991-12-31,PEG,29.37500
23712,1992-01-31,PEG,27.37500
23712,1992-02-28,PEG,28.00000
23712,1992-03-31,PEG,27.00000
23712,1992-04-30,PEG,26.12500
23712,1992-05-29,PEG,27.87500
23712,1992-06-30,PEG,27.62500
23712,1992-07-31,PEG,28.25000
23712,1992-08-31,PEG,27.75000
23712,1992-09-30,PEG,28.00000
23712,1992-10-30,PEG,28.37500
23712,1992-11-30,PEG,29.37500
23712,1992-12-31,PEG,30.87500
23712,1993-01-29,PEG,31.75000
23712,1993-02-26,PEG,33.37500
23712,1993-03-31,PEG,33.50000
23712,1993-04-30,PEG,34.12500
23712,1993-05-28,PEG,33.62500
23712,1993-06-30,PEG,34.25000
23712,1993-07-30,PEG,35.12500
23712,1993-08-31,PEG,36.00000
23712,1993-09-30,PEG,35.12500
23712,1993-10-29,PEG,33.62500
23712,1993-11-30,PEG,32.37500
23712,1993-12-31,PEG,32.00000
23712,1994-01-31,PEG,31.62500
23712,1994-02-28,PEG,30.37500
23712,1994-03-31,PEG,27.87500
23712,1994-04-29,PEG,28.62500
23712,1994-05-31,PEG,27.75000
23712,1994-06-30,PEG,26.00000
23712,1994-07-29,PEG,27.75000
23712,1994-08-31,PEG,27.75000
23712,1994-09-30,PEG,26.25000
23712,1994-10-31,PEG,26.25000
23712,1994-11-30,PEG,26.62500
23712,1994-12-30,PEG,26.50000
23712,1995-01-31,PEG,28.75000
23712,1995-02-28,PEG,29.12500
23712,1995-03-31,PEG,27.37500
23712,1995-04-28,PEG,27.50000
23712,1995-05-31,PEG,29.75000
23712,1995-06-30,PEG,27.75000
23712,1995-07-31,PEG,27.75000
23712,1995-08-31,PEG,27.50000
23712,1995-09-29,PEG,29.75000
23712,1995-10-31,PEG,29.37500
23712,1995-11-30,PEG,29.62500
23712,1995-12-29,PEG,30.62500
23712,1996-01-31,PEG,31.25000
23712,1996-02-29,PEG,28.12500
23712,1996-03-29,PEG,27.37500
23712,1996-04-30,PEG,26.12500
23712,1996-05-31,PEG,26.50000
23712,1996-06-28,PEG,27.50000
23712,1996-07-31,PEG,26.00000
23712,1996-08-30,PEG,27.12500
23712,1996-09-30,PEG,26.75000
23712,1996-10-31,PEG,26.87500
23712,1996-11-29,PEG,28.62500
23712,1996-12-31,PEG,27.25000
23712,1997-01-31,PEG,27.37500
23712,1997-02-28,PEG,28.25000
23712,1997-03-31,PEG,26.25000
23712,1997-04-30,PEG,24.12500
23712,1997-05-30,PEG,24.75000
23712,1997-06-30,PEG,25.00000
23712,1997-07-31,PEG,24.75000
23712,1997-08-29,PEG,24.81250
23712,1997-09-30,PEG,25.75000
23712,1997-10-31,PEG,25.93750
23712,1997-11-28,PEG,29.18750
23712,1997-12-31,PEG,31.81250
23712,1998-01-30,PEG,31.00000
23712,1998-02-27,PEG,32.25000
23712,1998-03-31,PEG,37.75000
23712,1998-04-30,PEG,33.56250
23712,1998-05-29,PEG,33.12500
23712,1998-06-30,PEG,34.43750
23712,1998-07-31,PEG,32.68750
23712,1998-08-31,PEG,36.50000
23712,1998-09-30,PEG,39.31250
23712,1998-10-30,PEG,38.00000
23712,1998-11-30,PEG,39.00000
23712,1998-12-31,PEG,40.00000
23712,1999-01-29,PEG,39.56250
23712,1999-02-26,PEG,38.00000
23712,1999-03-31,PEG,38.18750
23712,1999-04-30,PEG,40.00000
23712,1999-05-28,PEG,41.93750
23712,1999-06-30,PEG,40.81250
23712,1999-07-30,PEG,40.31250
23712,1999-08-31,PEG,41.00000
23712,1999-09-30,PEG,38.62500
23712,1999-10-29,PEG,39.56250
